Feature,Feature_Present,Accident_Count,Average_Severity,Severity_3_4_Percentage
Amenity,true,96334,2.0697,6.2937
Amenity,false,7632060,2.2142,19.6275
Bump,true,3514,2.0945,9.5618
Bump,false,7724880,2.2124,19.4658
Crossing,true,873763,2.0645,7.0415
Crossing,false,6854631,2.2312,21.0445
Give_Way,true,36582,2.1786,16.1555
Give_Way,false,7691812,2.2125,19.477
Junction,true,571342,2.2985,26.7924
Junction,false,7157052,2.2055,18.8761
No_Exit,true,19545,2.1122,11.2765
No_Exit,false,7708849,2.2126,19.4821
Railway,true,66979,2.1587,15.1301
Railway,false,7661415,2.2129,19.4992
Roundabout,true,249,2.0683,4.4177
Roundabout,false,7728145,2.2124,19.4618
Station,true,201901,2.0754,7.5066
Station,false,7526493,2.2161,19.782
Stop,true,214371,2.0764,6.2219
Stop,false,7514023,2.2163,19.839
Traffic_Calming,true,7598,2.1269,12.5165
Traffic_Calming,false,7720796,2.2125,19.4681
Traffic_Signal,true,1143772,2.0897,9.5088
Traffic_Signal,false,6584622,2.2337,21.1901
Turning_Loop,false,7728394,2.2124,19.4613
