State,Accident_Count,Average_Severity,Severity_3_4_Percentage,Percentage_of_All_Records
CA,1741433,2.1657,16.384,22.5329
FL,880192,2.1401,13.3169,11.3891
TX,582837,2.2241,21.9018,7.5415
SC,382557,2.1111,11.9106,4.95
NY,347960,2.2595,23.2242,4.5024
NC,338199,2.1338,11.8256,4.3761
VA,303301,2.279,22.9231,3.9245
PA,296620,2.2058,15.8108,3.8381
MN,192084,2.162,16.0071,2.4854
OR,179660,2.1124,8.6964,2.3247
AZ,170609,2.1195,13.2859,2.2076
GA,169234,2.5069,43.7388,2.1898
IL,168958,2.3833,36.734,2.1862
TN,167388,2.1981,19.1167,2.1659
MI,162191,2.3373,29.6706,2.0986
LA,149701,2.1265,13.0393,1.937
NJ,140719,2.2337,19.3329,1.8208
MD,140417,2.3327,25.8815,1.8169
OH,118115,2.3537,31.3559,1.5283
WA,108221,2.3441,31.4329,1.4003
AL,101044,2.2426,23.1285,1.3074
UT,97079,2.1819,17.1469,1.2561
CO,90885,2.4439,37.2009,1.176
OK,83647,2.0773,8.7092,1.0823
MO,77323,2.3996,36.5829,1.0005
CT,71005,2.347,28.9289,0.9188
IN,67224,2.3981,31.9558,0.8698
MA,61996,2.2938,30.9213,0.8022
WI,34688,2.4739,37.673,0.4488
KY,32254,2.4542,42.5002,0.4173
NE,28870,2.1807,16.3838,0.3736
MT,28496,2.0372,2.1126,0.3687
IA,26307,2.4194,34.2989,0.3404
AR,22780,2.2763,15.3819,0.2948
NV,21665,2.2309,20.3554,0.2803
KS,20992,2.3281,29.1587,0.2716
DC,18630,2.1436,10.7246,0.2411
RI,16971,2.4583,46.2377,0.2196
MS,15181,2.3443,29.0692,0.1964
DE,14097,2.2543,16.0814,0.1824
WV,13793,2.1572,9.7658,0.1785
ID,11376,2.1157,6.7774,0.1472
NM,10325,2.3721,33.1429,0.1336
NH,10213,2.2433,22.6476,0.1321
WY,3757,2.3396,19.4038,0.0486
ND,3487,2.0135,0.889,0.0451
ME,2698,2.2039,16.1231,0.0349
VT,926,2.4255,33.1533,0.012
SD,289,2.4429,23.5294,0.0037
