Weather_Condition_Group,Accident_Count,Average_Severity,Severity_3_4_Percentage,Percentage_of_All_Records
Fair,2560802,2.127,11.7099,33.135
Mostly Cloudy,1016195,2.2221,20.9393,13.1489
Cloudy,817082,2.1603,14.2174,10.5725
Clear,808743,2.368,33.5626,10.4646
Partly Cloudy,698972,2.2179,20.5147,9.0442
Overcast,382866,2.3854,34.9503,4.954
Light Rain,352957,2.2478,22.7951,4.567
Scattered Clouds,204829,2.3803,35.1552,2.6503
Missing,173459,2.2548,21.7481,2.2444
Light Snow,128680,2.2453,20.8976,1.665
Fog,99238,2.1459,12.4589,1.2841
Rain,84331,2.2589,24.0244,1.0912
Haze,76223,2.2131,20.196,0.9863
Fair / Windy,35671,2.1436,12.5256,0.4616
Heavy Rain,32309,2.2644,24.7083,0.4181
Light Drizzle,22684,2.2688,24.2285,0.2935
Thunder in the Vicinity,17611,2.1571,14.5193,0.2279
Cloudy / Windy,17035,2.1696,14.8987,0.2204
T-Storm,16810,2.2073,19.5479,0.2175
Mostly Cloudy / Windy,16508,2.1792,16.5435,0.2136
Snow,15537,2.2451,20.0811,0.201
Thunder,14202,2.1531,14.8148,0.1838
Light Rain with Thunder,13597,2.1974,19.5852,0.1759
Smoke,12668,2.2111,18.0218,0.1639
Wintry Mix,11703,2.1549,12.0909,0.1514
Partly Cloudy / Windy,10241,2.1719,15.6332,0.1325
Heavy T-Storm,9671,2.1833,18.3021,0.1251
Light Rain / Windy,7946,2.1904,16.9519,0.1028
Light Snow / Windy,6826,2.1292,9.8887,0.0883
Heavy Snow,5003,2.2367,18.4289,0.0647
Light Thunderstorms and Rain,4931,2.4366,41.1681,0.0638
Drizzle,4726,2.2973,24.9471,0.0612
Thunderstorm,4438,2.4096,38.4858,0.0574
Patches of Fog,4144,2.2167,20.7288,0.0536
Mist,3539,2.2622,23.7638,0.0458
Light Freezing Rain,3465,2.4,33.9971,0.0448
N/A Precipitation,3252,2.1381,10.0554,0.0421
Shallow Fog,3068,2.1744,17.1121,0.0397
Heavy Thunderstorms and Rain,2485,2.4584,43.2596,0.0322
Rain / Windy,2372,2.1783,16.3997,0.0307
Thunderstorms and Rain,2217,2.4565,43.4371,0.0287
Haze / Windy,1595,2.1078,7.21,0.0206
Heavy Rain / Windy,1523,2.1825,17.7282,0.0197
Showers in the Vicinity,1514,2.2067,19.2867,0.0196
Snow / Windy,1285,2.1401,10.6615,0.0166
Light Freezing Drizzle,1240,2.3581,31.2903,0.016
Heavy T-Storm / Windy,1096,2.1624,16.6971,0.0142
